"","Constituency_Name","V1"
"162","MANDI",3.15001808054186
"163","HAMIRPUR",2.08505212621685
"164","SHIMLA",3.14194750481852
"165","BARAMULLA",3.04325618971318
"166","SRINAGAR",3.00175277287675
"167","ANANTNAG",2.7850943362874
"168","LADAKH",21.7302759005295
"169","UDHAMPUR",2.46673137872072
"170","JAMMU",1.96076952420116
"171","RAJMAHAL",2.67742471741092
"172","DUMKA",2.84655657402032
"173","GODDA",2.27801721428338
"174","CHATRA",2.76086462963273
"175","KODARMA",2.21011621418051
"176","GIRIDIH",2.39726152453885
"177","DHANBAD",1.91733636822025
"178","RANCHI",2.19829913877142
"179","JAMSHEDPUR",2.29113371036218
"180","SINGHBHUM",3.14394013006753
"181","KHUNTI",3.25924040523233
"182","LOHARDAGA",3.23801584067823
"183","PALAMAU",2.20164074760155
"184","HAZARIBAGH",2.38577334071576
"185","CHIKKODI",2.51268265421167
"186","BELGAUM",2.2922496433982
"187","BAGALKOT",2.31016815278016
"188","BIJAPUR",2.2332847498051
"189","GULBARGA",2.10442917786979
"190","RAICHUR",2.18090570207378
"191","BIDAR",2.26351780991679
"192","KOPPAL",2.36062419183053
"193","BELLARY",2.43544351437721
"194","HAVERI",2.324816888415
"195","DHARWAD",2.29627310891089
"196","UTTARA KANNADA",2.49814455959228
"197","DAVANAGERE",2.37983676492994
"198","SHIMOGA",2.31961737066513
"199","UDUPI CHIKMAGALUR",2.61213989248133
"200","HASSAN",2.32074190866905
"201","DAKSHINA KANNADA",2.31520700937057
"202","CHITRADURGA",2.1813376095618
"203","TUMKUR",2.38640964413988
"204","MANDYA",2.1709030697398
"205","MYSORE",2.10303203349246
"206","CHAMARAJANAGAR",2.32925199626426
"207","BANGALORE RURAL",1.65440527246647
"208","BANGALORE NORTH",1.50899365056099
"209","BANGALORE CENTRAL",1.87620427283873
"210","BANGALORE SOUTH",1.81305973210909
"211","CHIKBALLAPUR",2.18510862814382
"212","KOLAR",2.42723498084699
"213","KASARAGOD",2.91365971714118
"214","KANNUR",3.09656607984851
"215","VADAKARA",3.06451902065448
"216","WAYANAD",2.90039058122969
"217","KOZHIKODE",3.06457085254431
"218","MALAPPURAM",3.02375914101952
"219","MALAPPURAM , DISTRICT, MALAPPURAM",3.02375914101952
"220","PONNANI",3.06896998532337
"221","PALAKKAD",2.99803760322852
"222","ALATHUR",2.97924365581974
"223","THRISSUR",2.84155892629743
"224","CHALAKUDY",3.14977440184546
"225","ERNAKULAM",3.13344666456837
"226","IDUKKI",3.12738115272258
"227","KOTTAYAM",3.1200303065525
"228","ALAPPUZHA",2.85041893333249
"229","MAVELIKARA",2.89287025772192
"230","PATHANAMTHITTA",2.73720792865959
"231","KOLLAM",2.9717577690942
"232","ATTINGAL",2.89580613042373
"233","THIRUVANANTHAPURAM",2.84722977368654
"234","LAKSHADWEEP",72.589359400665
"235","MORENA",2.1285741725048
"236","BHIND",2.26468483636089
"237","GWALIOR",1.93067318783248
"238","GUNA",2.25696104852166
"239","SAGAR",2.38357795256531
"240","TIKAMGARH",2.37026208365302
"241","DAMOH",2.19409983204308
"242","KHAJURAHO",2.12810416523523
"243","SATNA",2.48481432492607
"244","REWA",2.34593217277706
"245","SIDHI",2.08738813673355
"246","SHAHDOL",2.32144065147314
"247","SHAHDOL(ST) , DISTRICT, ANOOPPUR",2.32144065147314
"248","JABALPUR",2.11717780980719
"249","MANDLA",1.98597140793401
"250","BALAGHAT",2.22354717712814
"251","CHHINDWARA",2.58467031564052
"252","HOSHANGABAD",2.31079717843192
"253","VIDISHA",2.21769859838107
"254","BHOPAL",1.85148686339597
"255","RAJGARH",2.29535387649904
"256","DEWAS",2.24091357983466
"257","UJJAIN",2.37551696809072
"258","MANDSAUR",2.22790116048879
"259","RATLAM",2.12842539775023
"260","RATLAM(ST) JHABUA",2.12842539775023
"261","DHAR",2.17197131933344
"262","INDORE",1.71313802325246
"263","KHARGONE",2.12755566932351
"264","KHANDWA",2.05966294516877
"265","BETUL",2.2538475747762
"266","NANDURBAR",2.16612640119837
"267","DHULE",2.16299234734837
"268","JALGAON",2.12170478504001
"269","RAVER",2.27427577321043
"270","BULDHANA",2.27135922177964
"271","AKOLA",2.16651491083274
"272","AMRAVATI",2.24698850836992
"273","WARDHA",2.31619402870598
"274","RAMTEK",2.16054340814158
"275","NAGPUR",1.90647964208453
"276","BHANDARA - GONDIYA",2.18848423651389
"277","GADCHIROLI-CHIMUR",2.46779807373418
"278","CHANDRAPUR",2.06638915657841
"279","YAVATMAL-WASHIM",2.06450322795296
"280","HINGOLI",2.28459192255172
"281","NANDED",2.14800448354738
"282","PARBHANI",2.00899327638663
"283","JALNA",2.2479405181954
"284","DINDORI",2.36817870511721
"285","NASHIK",2.27372638780655
"286","PALGHAT",2.29623818790241
"287","BHIWANDI",2.135942576377
"288","KALYAN",1.88540161100168
"289","THANE",1.74788580832712
"290","MUMBAI NORTH",2.03142942030529
"291","MUMBAI NORTH WEST",2.04110247964421
"292","MUMBAI NORTH EAST",2.17208067577863
"293","MUMBAI NORTH CENTRAL",2.08614321472076
"294","MUMBAI SOUTH CENTRAL",2.50282549869258
"295","MUMBAI SOUTH",2.43888725868934
"296","RAIGAD",2.36420336629956
"297","MAVAL",1.8548036817572
"298","PUNE",1.97392794014713
"299","BARAMATI",1.99818036748857
"300","SHIRUR",1.98661376055856
"301","AHMEDNAGAR",2.12539318066516
"302","SHIRDI",2.47821088761492
"303","BEED",2.0214776766489
